Titles,User Ratings,Genres,Casts
Aquaman and the Lost Kingdom,Ratings not available,"Action,Adventure,Fantasy","{'Jason Momoa': 'Arthur Curry / Aquaman', 'Patrick Wilson': 'Orm Marius / Ocean Master', 'Amber Heard': 'Mera', 'Yahya Abdul-Mateen II': 'David Kane / Black Manta', 'Nicole Kidman': 'Atlanna', 'Dolph Lundgren': 'King Nereus', 'Randall Park': 'Dr. Stephen Shin', 'Temuera Morrison': 'Thomas Curry', 'Indya Moore': 'Karshon'}"
How the Grinch Stole Christmas,67.47,"Family,Comedy,Fantasy","{'Jim Carrey': 'Grinch', 'Taylor Momsen': 'Cindy Lou Who', 'Jeffrey Tambor': 'Mayor Augustus Maywho', 'Christine Baranski': 'Martha May Whovier', 'Bill Irwin': 'Lou Lou Who', 'Molly Shannon': 'Betty Lou Who', 'Clint Howard': 'Whobris', 'Josh Ryan Evans': '8-Year-Old Grinch', 'Mindy Sterling': 'Clarnella'}"
Top Gun: Maverick,82.48,"Action,Drama","{'Tom Cruise': ""Capt. Pete 'Maverick' Mitchell"", 'Miles Teller': ""Lt. Bradley 'Rooster' Bradshaw"", 'Jennifer Connelly': 'Penny Benjamin', 'Jon Hamm': ""Adm. Beau 'Cyclone' Simpson"", 'Glen Powell': ""Lt. Jake 'Hangman' Seresin"", 'Ed Harris': ""Radm. Chester 'Hammer' Cain"", 'Val Kilmer': ""Adm. Tom 'Iceman' Kazansky"", 'Lewis Pullman': ""Lt. Robert 'Bob' Floyd"", 'Charles Parnell': ""Adm. Solomon 'Warlock' Bates""}"
Inside Out,79.22,"Animation,Family,Adventure,Drama,Comedy","{'Amy Poehler': 'Joy (voice)', 'Phyllis Smith': 'Sadness (voice)', 'Bill Hader': 'Fear (voice)', 'Kaitlyn Dias': 'Riley (voice)', 'Richard Kind': 'Bing Bong (voice)', 'Lewis Black': 'Anger (voice)', 'Mindy Kaling': 'Disgust (voice)', 'Diane Lane': 'Mom (voice)', 'Kyle MacLachlan': 'Dad (voice)'}"
Thick as Thieves,59.60,"Action,Thriller,Crime","{'Morgan Freeman': 'Keith Ripley', 'Antonio Banderas': 'Gabriel Martin', 'Radha Mitchell': 'Alexandra Korolenko', 'Robert Forster': 'Lt. Weber', 'Rade Šerbedžija': 'Nicky / Victor', 'Michael Hayden': 'Sudimack', 'Marcel Iureș': 'Zykov', 'Gary Werntz': 'Donley', 'Gerrit Vooren': 'Bakker'}"
EXmas,68.85,"Romance,Comedy,TV Movie","{'Leighton Meester': 'Ali', 'Robbie Amell': 'Graham', 'Michael Hitchcock': 'Dennis', 'Kathryn Greenwood': 'Jeannie', 'Veronika Slowikowska': 'Mindy', 'Steven Huy': 'Elliott'}"
Black Panther: Wakanda Forever,71.69,"Action,Adventure,Science Fiction","{'Letitia Wright': 'Shuri / Black Panther', ""Lupita Nyong'o"": 'Nakia', 'Danai Gurira': 'Okoye', 'Winston Duke': ""M'Baku"", 'Dominique Thorne': 'Riri Williams / Ironheart', 'Tenoch Huerta Mejía': 'Namor', 'Angela Bassett': 'Ramonda', 'Florence Kasumba': 'Ayo', 'Michaela Coel': 'Aneka'}"
Hypnotic,64.32,"Mystery,Thriller,Action,Science Fiction","{'Ben Affleck': 'Danny Rourke', 'Alice Braga': 'Diana Cruz', 'J. D. Pardo': 'Nicks', 'Dayo Okeniyi': 'River', 'Jeff Fahey': 'Carl', 'Jackie Earle Haley': 'Jeremiah', 'William Fichtner': 'Dellrayne', 'Zane Holtz': 'Trout', 'Ruben Javier Caballero': 'Watkins'}"
Texas Chainsaw 3D,54.70,"Horror,Thriller","{'Alexandra Daddario': 'Heather Miller', 'Dan Yeager': 'Leatherface', 'Trey Songz': 'Ryan', 'Tania Raymonde': 'Nikki', 'Paul Rae': 'Mayor Burt Hartman', 'Thom Barry': 'Sheriff Hooper', 'Scott Eastwood': 'Deputy Carl Hartman', 'Shaun Sipos': 'Darryl', 'Richard Riehle': 'Farnsworth'}"
Meteor Storm,45.74,"Science Fiction,Adventure,TV Movie","{'Michael Trucco': 'Tom', 'Kari Matchett': 'Michelle', 'Brett Dier': 'Jason Young', 'Eric Johnson': 'Kyle Pember', 'Kevin McNulty': 'Général Brock', 'Lara Gilchrist': 'Lena', 'Emily Holmes': 'Laura', 'Carmen Moore': 'Harper', 'Jill Morrison': 'Pregnant Woman'}"
57 Seconds,58.08,"Thriller,Science Fiction,Action","{'Josh Hutcherson': 'Franklin Fox', 'Morgan Freeman': 'Anton Burrell', 'Greg Germann': 'Sig Thorenson', 'Lovie Simone': 'Jala', 'Bevin Bru': 'Renee Renzler', 'Sammi Rotibi': 'Calvert', 'Mark Jacobson': 'Andy', 'Griff Furst': 'James Miller', 'Dickson Obahor': 'Louie'}"
Thriller Night,69.13,Animation,"{'Michael Gough': 'Shrek (voice)', 'Dean Edwards': 'Donkey (voice)', 'Holly Fields': 'Princess Fiona (voice)', 'André Sogliuzzo': 'Puss in Boots (voice)', 'Cody Cameron': 'Pinocchio / Three Pigs (voice)', 'Conrad Vernon': 'Gingerbread Man (voice)', 'Walt Dohrn': 'Rumpelstiltskin (voice)', 'Bobby Kimball': 'Headless Horseman (voice)', 'Sean Bishop': 'Zombie Chorus (voice)'}"
Emmanuelle: Queen of Sados,60.22,"Crime,Drama","{'Laura Gemser': 'Emanuella Brindisi', 'Gabriele Tinti': 'Tommy Snow', 'Livia Russo': 'Livia Brindisi', 'Nadia Neri': 'Ilona', 'Haris Tryfonas': 'Mario Infanti (as Harris Stevens)', 'Gordon Mitchell': 'Robert', 'Pantelis Agelopoulos': 'Victor Brindisi', 'Vagelis Vartan': 'Mike', 'Elli Kiriakidou': 'View More'}"
Avengers: Endgame,82.61,"Adventure,Science Fiction,Action","{'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Chris Evans': 'Steve Rogers / Captain America', 'Mark Ruffalo': 'Bruce Banner / Hulk', 'Chris Hemsworth': 'Thor Odinson', 'Scarlett Johansson': 'Natasha Romanoff / Black Widow', 'Jeremy Renner': 'Clint Barton / Hawkeye', 'Don Cheadle': 'James Rhodes / War Machine', 'Paul Rudd': 'Scott Lang / Ant-Man', 'Benedict Cumberbatch': 'Stephen Strange / Doctor Strange'}"
The Hunger Games: Mockingjay - Part 2,68.90,"Action,Adventure,Science Fiction","{'Jennifer Lawrence': 'Katniss Everdeen', 'Josh Hutcherson': 'Peeta Mellark', 'Liam Hemsworth': 'Gale Hawthorne', 'Woody Harrelson': 'Haymitch Abernathy', 'Elizabeth Banks': 'Effie Trinket', 'Julianne Moore': 'President Alma Coin', 'Philip Seymour Hoffman': 'Plutarch Heavensbee', 'Jeffrey Wright': 'Beetee', 'Stanley Tucci': 'Caesar Flickerman'}"
The Batman,77.01,"Crime,Mystery,Thriller","{'Robert Pattinson': 'Bruce Wayne / The Batman', 'Zoë Kravitz': 'Selina Kyle / Catwoman', 'Paul Dano': 'Edward Nashton / The Riddler', 'Jeffrey Wright': 'Lt. James Gordon', 'John Turturro': 'Carmine Falcone', 'Peter Sarsgaard': 'District Attorney Gil Colson', 'Andy Serkis': 'Alfred Pennyworth', 'Colin Farrell': ""Oswald 'Oz' Cobblepot / The Penguin"", 'Jayme Lawson': 'Bella Reál'}"
Genie,78.24,"Fantasy,Comedy","{'Melissa McCarthy': 'Flora', 'Paapa Essiedu': 'Bernard Bottle', 'Denée Benton': 'Julie Bottle', 'Jordyn McIntosh': 'Eve Bottle', 'Alan Cumming': 'Flaxman', 'Marc Maron': 'Lenny', 'Tate Ellington': 'Johnny', 'LaChanze': 'Grandma Patty', 'Ellen Cleghorne': 'Bernard’s Mother'}"
Interstellar,84.21,"Adventure,Drama,Science Fiction","{'Matthew McConaughey': 'Joseph ""Coop"" Cooper', 'Anne Hathaway': 'Dr. Amelia Brand', 'Jessica Chastain': 'Murphy ""Murph"" Cooper', 'Michael Caine': 'Professor John Brand', 'Bill Irwin': 'TARS (voice)', 'Ellen Burstyn': 'Old Murph', 'Mackenzie Foy': 'Young Murph', 'Casey Affleck': 'Tom Cooper', 'John Lithgow': 'Donald'}"
When Evil Lurks,73.00,"Horror,Thriller","{'Ezequiel Rodríguez': 'Pedro', 'Demián Salomón': 'Jimi', 'Silvina Sabater': 'Mirtha', 'Virginia Garófalo': 'Sabrina', 'Emilio Vodanovich': 'Jair', 'Marcelo Michinaux': 'Santino', 'Lucrecia Niron Talazac': 'Vicky', 'Luis Ziembrowski': 'Ruíz', 'Paula Rubinsztein': 'Sara'}"
The Hunger Games: Catching Fire,74.24,"Adventure,Action,Science Fiction","{'Jennifer Lawrence': 'Katniss Everdeen', 'Josh Hutcherson': 'Peeta Mellark', 'Liam Hemsworth': 'Gale Hawthorne', 'Woody Harrelson': 'Haymitch Abernathy', 'Elizabeth Banks': 'Effie Trinket', 'Donald Sutherland': 'President Snow', 'Lenny Kravitz': 'Cinna', 'Philip Seymour Hoffman': 'Plutarch Heavensbee', 'Jeffrey Wright': 'Beetee'}"
